id,url
1,https://images.dog.ceo/breeds/terrier-norfolk/n02094114_1698.jpg
2,https://images.dog.ceo/breeds/vizsla/n02100583_6521.jpg
3,https://images.dog.ceo/breeds/finnish-lapphund/mochilamvan.jpg
4,https://images.dog.ceo/breeds/pug/n02110958_14594.jpg
5,https://images.dog.ceo/breeds/mountain-bernese/n02107683_6378.jpg
6,https://images.dog.ceo/breeds/african/n02116738_8734.jpg
7,https://images.dog.ceo/breeds/boxer/n02108089_11154.jpg
8,https://images.dog.ceo/breeds/segugio-italian/n02090722_001.jpg
9,https://images.dog.ceo/breeds/weimaraner/n02092339_1100.jpg
10,https://images.dog.ceo/breeds/maltese/n02085936_9270.jpg
